,,,,,,,,
Constants,,,,,,,,
Stuctural Steel density,7850,kg/m^3,,,,,,
Yield strength,250000000,Pa,,,,,,
Pi,3.1415,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Name,length (m),width (m),thickness (m),height (m),stress (Pa),volume,mass,FOS(yield)
DP 74,0.03323,0.04127,0.002395,0.029629,398823355.8,0.000005518647765,0.04332138496,0.6268439307
DP 75,0.022008,0.020059,0.003477,0.028207,265525246,0.000003462838287,0.02718328055,0.9415300569
DP 76,0.036888,0.02206,0.002614,0.021046,286011232.2,0.000004022462809,0.03157633305,0.8740915455
DP 77,0.030457,0.038161,0.003188,0.042908,240755738.3,0.000007680003836,0.06028803011,1.038396849
DP 78,0.029493,0.041858,0.002916,0.032775,285531302.4,0.000006246510583,0.04903510808,0.8755607455
DP 79,0.031507,0.02109,0.004419,0.023802,147566102.9,0.000005964090203,0.04681810809,1.694156009
DP 80,0.043448,0.023694,0.004991,0.024215,91171515.91,0.00001008096179,0.07913555004,2.742084493
DP 81,0.056833,0.021356,0.0022,0.036339,357021849.9,0.000007150753401,0.05613341419,0.7002372547
DP 82,0.028061,0.030904,0.002966,0.02014,267922439.5,0.000004069598403,0.03194634746,0.9331058662
DP 83,0.030947,0.038514,0.004078,0.045139,157482873.9,0.00001029666677,0.08082883415,1.587474205
DP 84,0.058522,0.026642,0.002356,0.025816,294293638.7,0.000007160803519,0.05621230763,0.8494916884
DP 85,0.026362,0.037782,0.002957,0.023319,291705703.7,0.000004581657781,0.03596601358,0.8570281515
DP 86,0.033145,0.049412,0.003896,0.043822,201908937.8,0.00001179762027,0.09261131915,1.238181938
DP 87,0.055287,0.034461,0.004702,0.049624,97280257.44,0.0000215962028,0.169530192,2.569894515
DP 88,0.027364,0.043971,0.002882,0.041549,335631601.4,0.000006570879776,0.05158140625,0.7448643065
DP 89,0.038974,0.034828,0.004566,0.022543,116515020.8,0.000009926153526,0.07792030518,2.1456461
DP 90,0.031694,0.03866,0.003395,0.02942,207761592.6,0.000007120071041,0.05589255767,1.203302289
DP 91,0.042028,0.035264,0.004366,0.031074,128091251.6,0.00001191092903,0.09350079292,1.951733603
DP 92,0.024937,0.037274,0.002277,0.034799,479734327.5,0.000003961755626,0.03109978167,0.5211217661
DP 93,0.052267,0.03983,0.003057,0.042419,206564449.4,0.00001300263434,0.1020706796,1.210276021
DP 94,0.036254,0.026206,0.003735,0.036156,154143342.6,0.000008221048296,0.06453522912,1.621866996
DP 95,0.023626,0.042369,0.004809,0.037481,142500812.5,0.00000874030184,0.06861136944,1.754375961
DP 96,0.049779,0.027519,0.004737,0.033056,92589707.32,0.0000140078964,0.1099619867,2.700084137
DP 97,0.046249,0.033204,0.004168,0.045815,129511449.6,0.0000149941547,0.1177041144,1.930331262
DP 98,0.059553,0.030545,0.002011,0.023263,416538446,0.000006401199505,0.05024941612,0.6001846946
DP 99,0.026565,0.033894,0.00434,0.047464,136046450.7,0.00000909039554,0.07135960499,1.83760766
DP 100,0.04367,0.048411,0.004896,0.031567,111416157.6,0.00001679979628,0.1318784008,2.243839721
DP 101,0.023368,0.021701,0.003631,0.021193,187695746.5,0.000003399490478,0.02668600026,1.33194281
DP 102,0.024472,0.02293,0.003951,0.024098,147982485.8,0.000004284053337,0.03362981869,1.68938911
DP 103,0.023862,0.021474,0.003923,0.021591,174091689.5,0.000003769331432,0.02958925174,1.436024894
DP 104,0.021007,0.02229,0.00383,0.023324,172666448.6,0.000003409735953,0.02676642723,1.447878277
DP 105,0.024634,0.023361,0.003453,0.021433,197666955,0.000003586625145,0.02815500739,1.264753636
DP 106,0.025173,0.024195,0.004211,0.020699,128923071.6,0.000004476824647,0.03514307348,1.939140892
DP 107,0.021266,0.023556,0.004054,0.021115,150911466.8,0.000003573879424,0.02805495348,1.656600425
DP 108,0.020854,0.021196,0.004176,0.020232,174952954,0.00000332012091,0.02606294914,1.428955581
DP 109,0.022002,0.022617,0.003694,0.022882,177777077.3,0.000003450330967,0.02708509809,1.406255541
DP 110,0.025961,0.021918,0.003795,0.021874,161373418.1,0.000004066572309,0.03192259263,1.549201863
DP 111,0.024069,0.024313,0.003863,0.020155,160277939.5,0.000003877671948,0.03043972479,1.559790454
DP 112,0.02245,0.022069,0.004013,0.02061,160611385,0.00000357322406,0.02804980887,1.556552171
DP 113,0.021595,0.020869,0.003571,0.022248,218566635,0.000003086255607,0.02422710651,1.143815935
DP 114,0.024864,0.0203,0.004133,0.024324,251887810.3,0.000004309124622,0.03382662828,0.9925053528
DP 115,0.020162,0.020547,0.003439,0.024024,234493421.5,0.000002859279647,0.02244534523,1.066127989
DP 116,0.022799,0.022819,0.004095,0.023653,147068239.6,0.000004061142505,0.03187996866,1.699891157
DP 117,0.02311,0.0201,0.00351,0.023082,236791024.3,0.000003271728659,0.02568306997,1.055783262
DP 118,0.025691,0.021027,0.00339,0.023508,209464090.3,0.000003662047295,0.02874707127,1.193522
DP 119,0.022144,0.023997,0.003757,0.022412,172887295.7,0.000003608705643,0.0283283393,1.44602875
DP 120,0.020512,0.023676,0.0036,0.022524,195233091.9,0.000003168442332,0.02487227231,1.280520621
DP 121,0.02,0.02,0.003805,0.02,294068254.4,0.000002783797313,0.0218528089,0.8501427687
DP 122,0.022952,0.021815,0.003764,0.020073,175505709.8,0.000003367479454,0.02643471372,1.42445508
DP 123,0.02125,0.020726,0.003816,0.020291,203389132.3,0.000003067416461,0.02407921922,1.229170886
DP 124,0.020279,0.021092,0.003691,0.021938,212043379.7,0.000002970075932,0.02331509606,1.179004034
DP 125,0.020754,0.020523,0.003592,0.021385,229586730.8,0.000002882155251,0.02262491872,1.088913105
DP 126,0.022703,0.022145,0.003861,0.020568,170476857.2,0.000003484683211,0.0273547632,1.466474712
DP 127,0.021997,0.022315,0.00395,0.020746,162709262.8,0.000003473757457,0.02726899604,1.5364829
DP 128,0.021671,0.020433,0.004023,0.021189,225126113.8,0.000003354611109,0.02633369721,1.110488676
DP 129,0.022511,0.020076,0.003625,0.022168,259452456.6,0.000003205995102,0.02516706155,0.9635676737
DP 130,0.021496,0.021591,0.003734,0.021875,192233644.7,0.000003237107924,0.0254112972,1.300500755
DP 131,0.020598,0.021326,0.003938,0.021519,181385303.4,0.000003205875856,0.02516612547,1.378281456
